('1', (332, 137))^('0', (1274, 846))^('3', (428, 27))^('2', (401, 69))^168^628
jagkumar^('jagkumar ~ hubzone certified', 0)
tri state financial services^('tri peaks performance', 1)
finbourne^('finbourne', 0)
osl^('osl', 0)
tp icap^('tp icap', 0)^('tp icap', 0)^('tp icap', 0)
bragit^('bragit', 0)
green byte web pvt ltd^('green byte web', 3)
leadflake^('leadflake', 0)
bank of america merrill lynch^('bank of america', 0)^('bank of america merrill lynch', 0)^('bank of america merrill lynch', 0)^('merrill lynch', 0)^('bank of america merrill lynch', 0)^('bank of america', 0)^('bank of america', 0)^('bank of america', 0)^('bank of america merrill lynch', 0)
susquehanna^('susquehanna international', 0)
freelance^('freelance', 0)^('freelance', 0)
vora gems inc^('vora gems', 2)
storm-7 consulting limited^('storm-7 consulting', 2)^('storm-7 consulting', 2)
jacobi asset management^('jacobi asset management', 0)
webmob software solutions pvt ltd^('webmob software solutions', 3)
aria commodities^('aria commodities', 0)
indus valley partners^('indus valley partners', 0)
jumelle consulting ltd^('jumelle consulting', 2)
stonex^('stonex', 0)
imperial capital^('imperial college business school', 1)
fairxchange inc^('fairxchange', 1)
ignite g2m ltd^('ignite technology', 1)
big xyt^('big xyt', 0)
clarity capital^('clarity ai', 1)
uno corporation^('uno', 1)
albourne^('albourne partners', 1)
bfam partners (hong kong) limited^('bfam partners', 0)
cboe global markets^('cboe global markets', 0)
it orient corporation^('it contractor', 1)
pa consulting^('pa consulting', 0)
airbpo^('airbpo', 0)
fiverr^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)^('fiverr', 0)
big band ltd^('big band', 2)
abu dhabi investment authority^('abu dhabi investment authority', 0)^('abu dhabi investment authority', 0)^('abu dhabi investment authority', 0)^('abu dhabi investment authority', 0)
nixora group pty ltd^('nixora', 1)
mason capital^('mason stevens', 1)
amrita vishwa vidyapeetham^('amrita vishwa vidyapeetham', 0)
young cyber bd^('young lives vs cancer', 1)
cero generation^('cero generation', 0)
valantic^('valantic fsa', 0)^('valantic fsa', 0)^('valantic', 0)^('valantic fsa', 0)^('valantic fsa', 0)^('valantic', 0)^('valantic fsa', 0)
wells fargo^('wells fargo securities', 0)^('wells fargo securities', 0)^('wells fargo', 0)
al hilal bank^('al hilal bank', 0)
abm^('abm', 0)
flow traders^('flow traders', 0)
immunify.life^('immunify.life', 0)
qube research & technologies^('qube research & technologies', 0)
colt technology services^('colt technology services', 0)
fiverr and upwork freelancers (buyers and sellers)^('fiverr and upwork freelancers', 3)
englander davis^('englander davis', 0)
sumitomo mitsui banking corporation^('sumitomo mitsui banking', 3)^('sumitomo mitsui banking corporation asia pacific', 3)^('sumitomo mitsui banking', 3)
edm council^('edm council', 0)
algoteq^('algoteq', 0)
proper source inc^('proper source', 2)
qpq international^('qpq international', 0)
nordea^('nordea', 0)^('nordea', 0)^('nordea', 0)^('nordea', 0)^('nordea', 0)^('nordea', 0)^('nordea asset management', 0)^('nordea markets, corporates & institutions', 1)
grcs^('grcs', 0)
gazprom marketing & trading^('gazprom marketing & trading', 0)
greyspark partners^('greyspark partners', 0)
oaknorth^('oaknorth', 0)
one2en^('one2en', 0)
royal sun^('royal college of occupational therapists', 1)
one man solutions^('one man solutions', 0)
brookville capital limited^('brookville capital', 2)
park west^('park partners', 1)
glg^('glg', 0)
the cheeky panda^('the cheeky panda', 0)
cargill^('cargill', 0)
blumberg capital^('blumberg capital', 0)
funnel magazine^('funnel magazine', 0)
university of birmingham^('university of birmingham', 0)
ipc^('ipc systems', 1)
nephila capital^('nephila advisors', 1)
global fpo (a unit of vads consulting private limited)^('global fpo', 2)^('global fpo', 2)
talos^('talos', 0)
etf research unit^('etf research unit', 0)
graphic design^('graphic design', 0)
delta capita^('delta capita', 0)
interactive webtech pvt ltd^('interactive webtech', 2)
mccabe & barton^('mccabe & barton', 0)
xodus^('xodus', 0)
fiserv^('fiserv', 0)
kumarinfotech^('kumarinfotech', 0)
onkho^('onkho', 0)
quinlan & associates^('quinlan & associates', 0)
union bank^('union bank of india', 3)
partners wealth management^('partners', 1)
fives digital^('fives digital', 0)
bmo capital markets^('bmo capital markets', 0)
saxo bank^('saxo bank', 0)^('saxo bank', 0)
fdm group^('fdm', 1)
cuelang.org^('cuelang.org', 0)
vert capital^('vert capital', 0)
cerberus capital management^('cerberus capital management', 0)
sygnl^('sygnl', 0)
projective^('projective', 0)^('projective', 0)
kpmg uk^('kpmg', 0)^('kpmg uk', 0)^('kpmg uk', 0)^('kpmg uk', 0)
nanook energy advisors llp^('nanook energy advisors', 3)
ibm^('ibm', 0)
aqm technologies^('aqm technologies', 0)
adoptech^('adoptech', 0)^('adoptech', 0)^('adoptech', 0)
columbia threadneedle investments emea apac^('columbia threadneedle investments emea apac', 0)
trade nation^('trade nation', 0)
bjss^('bjss', 0)
minfo^('minfo', 0)
amc aerospace technologies^('amc aerospace technologies', 0)
legly | contract review made easy^('legly', 1)
macquarie group^('macquarie', 0)^('macquarie', 0)^('macquarie', 0)^('macquarie', 0)
optiver^('optiver', 0)^('optiver', 0)
global x etfs^('global invest & trade', 1)
fluidline valves international private limited^('fluidline valves international', 3)
the attention exchange^('the attention exchange', 0)
virtu^('virtu financial', 0)
tower research capital^('tower research capital', 0)
institutional secured^('institutional investor', 1)
anchorage capital^('anchorage digital', 0)
ktb - krung thai bank^('ktb', 1)
